state,Year,Coal,Geothermal,Hydroelectric,NaturalGas,Nuclear,Other,OtherBiomass,OtherGases,Petroleum,PumpedStorage,Solar,Total,Wind,Wood,Price_Residential,lat,lng
AK,1990,1021146,0,1949042,6932522,0,0,0,0,994232,0,0,11199012,0,302070,10.11,63.2813242,-152.5730397
AK,1991,1041028,0,1792226,6638790,0,0,0,0,1026850,0,0,10779656,0,280762,10.67,63.2813242,-152.5730397
AK,1992,991590,0,1836240,6428660,0,0,32590,0,1043900,0,0,10596848,0,263868,10.82,63.2813242,-152.5730397
AK,1993,1066246,0,2605984,6383628,0,0,30844,0,1174844,0,0,11442554,0,181008,11.15,63.2813242,-152.5730397
AK,1994,1005732,0,2690814,6802350,0,0,32564,0,1125288,0,0,11933032,0,276284,11.32,63.2813242,-152.5730397
AK,1995,1057860,0,2744230,6759146,0,0,27178,0,1241128,0,0,12052232,0,222690,11.24,63.2813242,-152.5730397
AK,1996,857472,0,2531726,7097436,0,0,23970,0,1541352,0,0,12257784,0,205828,11.36,63.2813242,-152.5730397
AK,1997,885404,0,2197906,7415468,0,0,10806,0,1715778,0,0,12309694,0,84332,11.44,63.2813242,-152.5730397
AK,1998,1049226,0,2226664,6705790,0,0,0,0,1672934,0,0,11657690,0,3076,11.5,63.2813242,-152.5730397
AK,1999,1046738,0,1633216,7176150,0,0,0,0,1748512,0,0,11604616,0,0,11.16,63.2813242,-152.5730397
AK,2000,1077346,0,2003638,7951664,0,0,0,0,1280402,0,0,12313050,0,0,11.45,63.2813242,-152.5730397
AK,2001,1129186,0,2691330,7791138,0,0,0,0,1873978,0,0,13487532,1900,0,12.12,63.2813242,-152.5730397
AK,2002,1150576,0,2878702,7556324,0,0,22248,0,1924738,0,0,13534650,0,2062,12.05,63.2813242,-152.5730397
AK,2003,1099328,0,3165072,6708964,0,0,10038,0,1692548,0,0,12677464,0,1516,11.98,63.2813242,-152.5730397
AK,2004,1297960,0,2996040,7246866,0,0,17656,0,1494136,0,0,13053434,0,778,12.44,63.2813242,-152.5730397
AK,2005,1248636,0,2927884,7447252,0,0,9746,0,1517858,0,0,13153318,1178,766,13.3,63.2813242,-152.5730397
AK,2006,1234838,0,2447214,8115460,0,0,12298,0,1535976,0,0,13348394,1576,1032,14.83,63.2813242,-152.5730397
AK,2007,1282818,0,2582446,7735078,0,0,20392,0,2019980,0,0,13642784,2024,44,15.18,63.2813242,-152.5730397
AK,2008,1235794,0,2343602,8004944,0,0,9364,0,1955830,0,0,13549668,136,0,16.56,63.2813242,-152.5730397
AK,2009,1261184,0,2647488,7154806,0,0,13022,0,2313764,0,0,13404318,14054,0,17.14,63.2813242,-152.5730397
AK,2010,1240886,0,2866282,7500048,0,0,12608,0,1874112,0,0,13519152,25214,0,16.26,63.2813242,-152.5730397
